Model,Seeds,HR@10,NDCG@10,CF-Recovery,Semantic-Retention,Oracle-Gap-Capture
StaticFusion,"2024,2025,2026",0.5021 ± 0.0038,0.3012 ± 0.0036,,,
UserGate,"2024,2025,2026",0.5048 ± 0.0027,0.3015 ± 0.0028,0.0038 ± 0.0016,0.9983 ± 0.0006,-0.0002 ± 0.0028
ItemGate,"2024,2025,2026",0.5019 ± 0.0040,0.3071 ± 0.0034,0.1051 ± 0.0095,0.9270 ± 0.0055,-0.0555 ± 0.0262
UserTargetGate,"2024,2025,2026",0.5029 ± 0.0052,0.3034 ± 0.0021,0.0306 ± 0.0432,0.9682 ± 0.0450,-0.0344 ± 0.0486
EventGate-NoTeacher,"2024,2025,2026",0.5085 ± 0.0040,0.3107 ± 0.0021,0.1823 ± 0.0596,0.8909 ± 0.0486,0.0686 ± 0.0250
CER-Rec Multi-prefix,"2024,2025,2026",0.5088 ± 0.0040,0.3121 ± 0.0040,0.4018 ± 0.0127,0.8469 ± 0.0062,0.0729 ± 0.0244
Teacher single-prefix lambda=0.1,2026,0.4988,0.3052,0.3247,0.8464,-0.0471
Teacher single-prefix lambda=0.3,2026,0.5040,0.3035,0.3141,0.8849,0.0479
Teacher single-prefix lambda=1.0,2026,0.5021,0.3000,0.3734,0.8736,0.0130
Teacher multi-prefix early,2026,0.5033,0.3087,0.4018,0.8384,0.0357
WarmStart Teacher,2026,0.4972,0.3039,0.3539,0.8457,-0.0747
